Source,Target,Weight,Type
cognitive_behavioral_therapy,treatment_outcome,5,Undirected
nerve_stimulation,quality_life,13,Undirected
nerve_stimulation,relaxation,2,Undirected
nerve_stimulation,topiramate,4,Undirected
nerve_stimulation,treatment_outcome,36,Undirected
nerve_stimulation,vagus_nerve_stimulation,32,Undirected
quality_life,relaxation_therapy,3,Undirected
quality_life,topiramate,20,Undirected
quality_life,vagus_nerve_stimulation,5,Undirected
relaxation,relaxation_therapy,8,Undirected
relaxation,topiramate,2,Undirected
relaxation,treatment_outcome,14,Undirected
relaxation_therapy,treatment_outcome,2,Undirected
topiramate,treatment_outcome,27,Undirected
treatment_outcome,vagus_nerve_stimulation,14,Undirected
migraine_therapy,quality_life,110,Undirected
central_sensitization,chronic_pain,5,Undirected
central_sensitization,disability,12,Undirected
central_sensitization,fibromyalgia,7,Undirected
central_sensitization,irritable_bowel,4,Undirected
central_sensitization,irritable_bowel_syndrome,3,Undirected
chronic_pain,comorbidity,16,Undirected
chronic_pain,disability,18,Undirected
chronic_pain,fibromyalgia,10,Undirected
chronic_pain,irritable_bowel,3,Undirected
chronic_pain,irritable_bowel_syndrome,2,Undirected
comorbidity,fibromyalgia,31,Undirected
comorbidity,irritable_bowel,16,Undirected
comorbidity,irritable_bowel_syndrome,7,Undirected
disability,fibromyalgia,12,Undirected
disability,irritable_bowel,4,Undirected
fibromyalgia,irritable_bowel,8,Undirected
fibromyalgia,irritable_bowel_syndrome,4,Undirected
irritable_bowel,irritable_bowel_syndrome,7,Undirected
inflammatory,vascular,32,Undirected
phytotherapy,vascular,3,Undirected
anxiety,brainstem,2,Undirected
anxiety,hormonal,7,Undirected
anxiety,inflammatory,17,Undirected
anxiety,neuropathic_pain,3,Undirected
brainstem,comorbidity,2,Undirected
brainstem,disability,4,Undirected
brainstem,inflammatory,4,Undirected
brainstem,quality_life,2,Undirected
brainstem,stress,2,Undirected
cluster_headache,disability,10,Undirected
cluster_headache,inflammatory,4,Undirected
cluster_headache,neuropathic_pain,2,Undirected
cluster_headache,quality_life,19,Undirected
cluster_headache,stress,2,Undirected
comorbidity,management,5,Undirected
comorbidity,medication_overuse_headache,12,Undirected
comorbidity,neuropathic_pain,2,Undirected
depression,neuropathic_pain,2,Undirected
disability,stress,50,Undirected
hormonal,stress,4,Undirected
inflammatory,medication_overuse_headache,5,Undirected
inflammatory,stress,11,Undirected
management,quality_life,3,Undirected
medication_overuse_headache,stress,2,Undirected
neuropathic_pain,quality_life,3,Undirected
calcitonin_gene_related,calcitonin_gene_related_use,8,Undirected
calcitonin_gene_related,migraine_therapy,72,Undirected
calcitonin_gene_related,trigeminovascular,18,Undirected
calcitonin_gene_related,vascular,41,Undirected
calcitonin_gene_related_peptid,calcitonin_gene_related_use,3,Undirected
calcitonin_gene_related_peptid,inflammatory,7,Undirected
calcitonin_gene_related_peptid,migraine_therapy,23,Undirected
calcitonin_gene_related_peptid,trigeminovascular,10,Undirected
calcitonin_gene_related_peptid,vascular,21,Undirected
calcitonin_gene_related_use,inflammatory,2,Undirected
calcitonin_gene_related_use,migraine_therapy,6,Undirected
calcitonin_gene_related_use,vascular,2,Undirected
inflammatory,migraine_therapy,18,Undirected
inflammatory,trigeminovascular,7,Undirected
migraine_therapy,trigeminovascular,3,Undirected
migraine_therapy,vascular,23,Undirected
trigeminovascular,vascular,32,Undirected
comorbidity,restless_legs,14,Undirected
depression,restless_legs,8,Undirected
depression,restless_legs_syndrome,8,Undirected
epilepsy,stroke,20,Undirected
restless_legs,restless_legs_syndrome,14,Undirected
restless_legs,stroke,2,Undirected
restless_legs_syndrome,stroke,2,Undirected
anxiety,tth,13,Undirected
comorbidity,tth,19,Undirected
depression,tth,18,Undirected
anxiety,cognitive_behavioral_therapy,2,Undirected
anxiety,headache_days,35,Undirected
anxiety,psychiatric_comorbidity,3,Undirected
cognitive_behavioral_therapy,comorbidity,7,Undirected
cognitive_behavioral_therapy,depression,3,Undirected
cognitive_behavioral_therapy,headache_days,2,Undirected
cognitive_behavioral_therapy,mindfulness,4,Undirected
cognitive_behavioral_therapy,psychiatric_comorbidity,3,Undirected
cognitive_behavioral_therapy,stress,3,Undirected
comorbidity,headache_days,24,Undirected
comorbidity,psychiatric_comorbidity,5,Undirected
depression,headache_days,52,Undirected
depression,psychiatric_comorbidity,3,Undirected
headache_days,mindfulness,4,Undirected
headache_days,stress,10,Undirected
mindfulness,stress,9,Undirected
insomnia,quality_life,12,Undirected
anxiety,comorbidities,9,Undirected
anxiety,trigeminovascular,2,Undirected
anxiety,vascular,19,Undirected
anxiety,vestibular,16,Undirected
anxiety,vestibular_migraine,11,Undirected
comorbidities,comorbidity,13,Undirected
comorbidities,depression,9,Undirected
comorbidities,quality_life,4,Undirected
comorbidities,vascular,6,Undirected
comorbidity,trigeminovascular,2,Undirected
comorbidity,vestibular,11,Undirected
comorbidity,vestibular_migraine,7,Undirected
depression,trigeminovascular,10,Undirected
depression,vascular,42,Undirected
depression,vestibular,16,Undirected
depression,vestibular_migraine,13,Undirected
quality_life,trigeminovascular,4,Undirected
quality_life,vestibular,35,Undirected
quality_life,vestibular_migraine,26,Undirected
vascular,vestibular,6,Undirected
vascular,vestibular_migraine,3,Undirected
vestibular,vestibular_migraine,55,Undirected
cognitive_behavioral_therapy,insomnia,5,Undirected
insomnia,treatment_outcome,6,Undirected
light_sensitivity,quality_life,3,Undirected
migraine_therapy,treatment_outcome,107,Undirected
comorbidity,healthcare_cost,3,Undirected
propranolol,quality_life,14,Undirected
propranolol,topiramate,23,Undirected
propranolol,valproate,9,Undirected
quality_life,valproate,5,Undirected
topiramate,valproate,12,Undirected
disability,headache_days,101,Undirected
disability,treatment_outcome,139,Undirected
cluster_headache,triptans,3,Undirected
comorbidity,triptans,15,Undirected
calcitonin_gene_related_peptid,comorbidity,2,Undirected
calcitonin_gene_related_peptid,erenumab,13,Undirected
calcitonin_gene_related_peptid,fremanezumab,6,Undirected
calcitonin_gene_related_peptid,galcanezumab,7,Undirected
calcitonin_gene_related_peptid,headache_days,4,Undirected
calcitonin_gene_related_peptid,medication_overuse_headache,4,Undirected
calcitonin_gene_related_peptid,migraine_therapy,12,Undirected
calcitonin_gene_related_peptid,therapy,3,Undirected
calcitonin_gene_related_peptid,treatment_outcome,8,Undirected
comorbidity,erenumab,4,Undirected
comorbidity,galcanezumab,3,Undirected
comorbidity,migraine_therapy,8,Undirected
comorbidity,moh,10,Undirected
erenumab,headache_days,14,Undirected
erenumab,medication_overuse_headache,3,Undirected
erenumab,migraine_therapy,29,Undirected
erenumab,therapy,5,Undirected
erenumab,treatment_outcome,37,Undirected
fremanezumab,headache_days,20,Undirected
fremanezumab,medication_overuse_headache,2,Undirected
fremanezumab,migraine_therapy,23,Undirected
fremanezumab,therapy,6,Undirected
galcanezumab,medication_overuse_headache,2,Undirected
galcanezumab,migraine_therapy,19,Undirected
galcanezumab,therapy,4,Undirected
headache_days,medication_overuse_headache,13,Undirected
headache_days,migraine_therapy,45,Undirected
headache_days,moh,10,Undirected
headache_days,therapy,14,Undirected
medication_overuse_headache,migraine_therapy,12,Undirected
medication_overuse_headache,moh,26,Undirected
medication_overuse_headache,therapy,5,Undirected
medication_overuse_headache,treatment_outcome,14,Undirected
migraine_therapy,moh,9,Undirected
migraine_therapy,therapy,41,Undirected
moh,therapy,5,Undirected
moh,treatment_outcome,11,Undirected
therapy,treatment_outcome,27,Undirected
calcitonin_gene_related,calcitonin_gene_related_peptid,26,Undirected
calcitonin_gene_related,cgrp_receptor,37,Undirected
calcitonin_gene_related,diet,5,Undirected
calcitonin_gene_related,gepants,30,Undirected
calcitonin_gene_related_peptid,cgrp_receptor,10,Undirected
calcitonin_gene_related_peptid,gepants,8,Undirected
calcitonin_gene_related_peptid,quality_life,11,Undirected
cgrp_receptor,gepants,12,Undirected
cgrp_receptor,migraine_therapy,12,Undirected
cgrp_receptor,quality_life,11,Undirected
diet,hormonal,3,Undirected
diet,migraine_therapy,13,Undirected
gepants,migraine_therapy,16,Undirected
gepants,quality_life,11,Undirected
hormonal,migraine_therapy,4,Undirected
ketogenic_diet,migraine_therapy,3,Undirected
hypertension,triptans,8,Undirected
hypertension,vascular,42,Undirected
stroke,triptans,13,Undirected
triptans,vascular,28,Undirected
acupuncture,anxiety,17,Undirected
acupuncture,depression,18,Undirected
calcitonin_gene_related,trigeminal,28,Undirected
calcitonin_gene_related_peptid,comorbidity,7,Undirected
calcitonin_gene_related_peptid,trigeminal,14,Undirected
circadian_rhythm,sleep_apnea,4,Undirected
comorbidity,sleep_apnea,10,Undirected
sleep_apnea,vascular,3,Undirected
trigeminal,vascular,19,Undirected
nerve_stimulation,neuromodulation,41,Undirected
nerve_stimulation,occipital_nerve,23,Undirected
nerve_stimulation,remote_electrical_neuromodulat,2,Undirected
nerve_stimulation,tms,7,Undirected
nerve_stimulation,transcranial_magnetic,19,Undirected
nerve_stimulation,trigeminal,27,Undirected
neuromodulation,occipital_nerve,16,Undirected
neuromodulation,quality_life,15,Undirected
neuromodulation,remote_electrical_neuromodulat,14,Undirected
neuromodulation,tms,16,Undirected
neuromodulation,transcranial_magnetic,29,Undirected
neuromodulation,trigeminal,29,Undirected
occipital_nerve,quality_life,18,Undirected
occipital_nerve,remote_electrical_neuromodulat,2,Undirected
occipital_nerve,tms,3,Undirected
occipital_nerve,transcranial_magnetic,6,Undirected
occipital_nerve,trigeminal,7,Undirected
quality_life,remote_electrical_neuromodulat,2,Undirected
quality_life,tms,4,Undirected
quality_life,transcranial_magnetic,6,Undirected
quality_life,trigeminal,17,Undirected
remote_electrical_neuromodulat,tms,2,Undirected
remote_electrical_neuromodulat,transcranial_magnetic,2,Undirected
tms,transcranial_magnetic,53,Undirected
tms,trigeminal,6,Undirected
transcranial_magnetic,trigeminal,13,Undirected
calcitonin_gene_related,cytokines,6,Undirected
cytokines,inflammatory,15,Undirected
central_sensitization,depression,10,Undirected
anti_inflammatory_agents,comorbidity,5,Undirected
anti_inflammatory_agents,inflammatory,31,Undirected
epilepsy,social_stigma,3,Undirected
epilepsy,stigma,3,Undirected
anxiety,bipolar,14,Undirected
asthma,bipolar,4,Undirected
asthma,comorbidities,4,Undirected
asthma,depression,10,Undirected
asthma,vascular,4,Undirected
bipolar,comorbidity,16,Undirected
bipolar,depression,13,Undirected
bipolar,vascular,5,Undirected
anxiety,disability_evaluation,17,Undirected
comorbidity,disability_evaluation,9,Undirected
depression,disability_evaluation,21,Undirected
headache_days,topiramate,12,Undirected
anxiety,biofeedback,9,Undirected
anxiety,relaxation,6,Undirected
biofeedback,depression,9,Undirected
biofeedback,disability,11,Undirected
biofeedback,stress,10,Undirected
depression,relaxation,4,Undirected
disability,relaxation,15,Undirected
relaxation,stress,11,Undirected
disability_evaluation,stress,8,Undirected
management,treatment,2,Undirected
comorbidity,rls,20,Undirected
restless_legs,rls,13,Undirected
restless_legs_syndrome,rls,14,Undirected
anxiety,combined_modality_therapy,5,Undirected
anxiety,diet,4,Undirected
anxiety,exercise,17,Undirected
anxiety,sleep_apnea,2,Undirected
combined_modality_therapy,depression,3,Undirected
combined_modality_therapy,diet,2,Undirected
combined_modality_therapy,vascular,3,Undirected
depression,exercise,16,Undirected
depression,sleep_apnea,4,Undirected
diet,exercise,4,Undirected
diet,sleep_apnea,2,Undirected
diet,vascular,9,Undirected
exercise,vascular,5,Undirected
disability,tth,17,Undirected
physical_therapy,tth,4,Undirected
quality_life,tth,20,Undirected
anxiety,migraine_therapy,20,Undirected
anxiety,physical_therapy,2,Undirected
anxiety,tension_type_therapy,2,Undirected
anxiety,treatment_outcome,41,Undirected
depression,migraine_therapy,24,Undirected
depression,tension_type_therapy,3,Undirected
headache_days,physical_therapy,2,Undirected
headache_days,physical_therapy_modalities,2,Undirected
headache_days,quality,5,Undirected
headache_days,tension_type_therapy,2,Undirected
headache_days,tth,5,Undirected
migraine_therapy,physical_therapy,2,Undirected
migraine_therapy,physical_therapy_modalities,3,Undirected
migraine_therapy,physiotherapy,3,Undirected
migraine_therapy,quality,3,Undirected
migraine_therapy,tension_type_therapy,4,Undirected
migraine_therapy,tth,5,Undirected
physical_therapy,physiotherapy,2,Undirected
physical_therapy,quality,2,Undirected
physical_therapy,treatment_outcome,5,Undirected
physical_therapy_modalities,physiotherapy,7,Undirected
physical_therapy_modalities,quality_life,7,Undirected
physical_therapy_modalities,treatment_outcome,4,Undirected
physical_therapy_modalities,tth,2,Undirected
physiotherapy,treatment_outcome,4,Undirected
quality,treatment_outcome,6,Undirected
quality,tth,2,Undirected
quality_life,tension_type_therapy,4,Undirected
tension_type_therapy,treatment_outcome,3,Undirected
tension_type_therapy,tth,4,Undirected
treatment_outcome,tth,6,Undirected
depression,fibromyalgia,26,Undirected
disability,insomnia,13,Undirected
fibromyalgia,headache_days,4,Undirected
fibromyalgia,insomnia,5,Undirected
fibromyalgia,quality_life,12,Undirected
headache_days,insomnia,3,Undirected
anxiety_disorders,comorbidity,10,Undirected
anxiety_disorders,quality_life,4,Undirected
anxiety_disorders,stress_disorders,2,Undirected
comorbidity,disease_management,4,Undirected
comorbidity,stress_disorders,12,Undirected
quality_life,stress_disorders,2,Undirected
stress,tth,8,Undirected
acupuncture_therapy,botulinum_toxins,2,Undirected
acupuncture_therapy,cognitive_behavioral_therapy,4,Undirected
acupuncture_therapy,pain_management,6,Undirected
acupuncture_therapy,quality_life,12,Undirected
acupuncture_therapy,treatment_outcome,35,Undirected
botulinum_toxins,pain_management,3,Undirected
cognitive_behavioral_therapy,pain_management,3,Undirected
pain_management,quality_life,13,Undirected
pain_management,treatment_outcome,44,Undirected
anxiety,psychotherapy,3,Undirected
anxiety,stress_management,2,Undirected
biofeedback,psychotherapy,3,Undirected
biofeedback,stress_management,2,Undirected
comorbidity,stress_management,2,Undirected
depression,psychotherapy,3,Undirected
depression,stress_management,2,Undirected
disability,psychotherapy,4,Undirected
disability,stress_management,2,Undirected
psychotherapy,quality_life,4,Undirected
psychotherapy,relaxation,2,Undirected
psychotherapy,stress,3,Undirected
quality_life,stress_management,2,Undirected
relaxation,stress_management,2,Undirected
stress,stress_management,6,Undirected
electric_stimulation_therapy,neuromodulation,19,Undirected
electric_stimulation_therapy,quality_life,8,Undirected
electric_stimulation_therapy,treatment,7,Undirected
electric_stimulation_therapy,trigeminal,10,Undirected
neuromodulation,treatment,8,Undirected
quality_life,treatment,10,Undirected
treatment,trigeminal,8,Undirected
quality_life,therapy,28,Undirected
quality_life,trigger_points,2,Undirected
acupuncture,treatment_outcome,55,Undirected
anxiety,hypertension,14,Undirected
anxiety,irritable_bowel,10,Undirected
depression,irritable_bowel,8,Undirected
disability,hypertension,7,Undirected
hypertension,irritable_bowel,4,Undirected
hypertension,stress,7,Undirected
irritable_bowel,stress,4,Undirected
diet,topiramate,5,Undirected
diet,treatment_outcome,16,Undirected
drug_therapy,quality_life,8,Undirected
drug_therapy,topiramate,5,Undirected
drug_therapy,treatment_outcome,28,Undirected
migraine_treatment,treatment_outcome,8,Undirected
cluster_headache,nerve_stimulation,17,Undirected
cluster_headache,neuromodulation,15,Undirected
cluster_headache,tms,3,Undirected
cluster_headache,transcranial_magnetic,6,Undirected
cluster_headache,treatment_outcome,13,Undirected
cluster_headache,trigeminal,15,Undirected
cluster_headache,vagus_nerve_stimulation,12,Undirected
neuromodulation,treatment_outcome,48,Undirected
neuromodulation,vagus_nerve_stimulation,15,Undirected
tms,treatment_outcome,13,Undirected
tms,vagus_nerve_stimulation,3,Undirected
transcranial_magnetic,treatment_outcome,18,Undirected
transcranial_magnetic,vagus_nerve_stimulation,8,Undirected
treatment_outcome,trigeminal,19,Undirected
trigeminal,vagus_nerve_stimulation,6,Undirected
cerebrovascular,comorbidity,4,Undirected
cerebrovascular,quality_life,3,Undirected
cerebrovascular,vascular,7,Undirected
comorbidity,presenteeism,2,Undirected
comorbidity,work_productivity,2,Undirected
depression,presenteeism,4,Undirected
depression,work_productivity,8,Undirected
presenteeism,quality_life,16,Undirected
presenteeism,work_productivity,15,Undirected
quality_life,work_productivity,26,Undirected
vascular,work_productivity,2,Undirected
