Id,Label,Category,Frequency,Category_Description
calcitonin_gene_related_peptid,Calcitonin Gene-Related Peptide Antagonists,interventions,3,Interventions
perimenopause,Perimenopause,trigger_mechanisms,3,Trigger Mechanisms
ultrasonic_therapy,Ultrasonic Therapy,interventions,3,Interventions
pregnancy_therapy,Pregnancy Therapy,interventions,3,Interventions
non_pharmacological_treatment,Non-Pharmacological Treatment,interventions,5,Interventions
repetitive_transcranial_magnet,Repetitive Transcranial Magnetic Stimulation,interventions,5,Interventions
stms,Stms,interventions,4,Interventions
acute_migraine_treatment,Acute Migraine Treatment,interventions,7,Interventions
nonpharmacological_treatment,Nonpharmacological Treatment,interventions,3,Interventions
stroke_like_migraine_attacks_a,Stroke-Like Migraine Attacks After Radiation Therapy Syndrome,true_comorbidities,3,True Comorbidities
mindfulness_based_stress_reduc,Mindfulness-Based Stress Reduction,trigger_mechanisms,3,Trigger Mechanisms
non_pharmacologic_treatment,Non-Pharmacologic Treatment,interventions,3,Interventions
music_therapy,Music Therapy,interventions,3,Interventions
