Source,Target,Weight,Type,Source_Label,Target_Label
calcitonin_gene_related,lasmiditan,8,Undirected,Calcitonin Gene-Related,Lasmiditan
calcitonin_gene_related,quality_life,72,Undirected,Calcitonin Gene-Related,Quality Life
calcitonin_gene_related_peptid,disability,20,Undirected,Calcitonin Gene-Related Peptide,Disability
calcitonin_gene_related_peptid,erenumab,33,Undirected,Calcitonin Gene-Related Peptide,Erenumab
calcitonin_gene_related_peptid,fremanezumab,33,Undirected,Calcitonin Gene-Related Peptide,Fremanezumab
calcitonin_gene_related_peptid,galcanezumab,38,Undirected,Calcitonin Gene-Related Peptide,Galcanezumab
calcitonin_gene_related_peptid,quality_life,33,Undirected,Calcitonin Gene-Related Peptide,Quality Life
cost_illness,galcanezumab,3,Undirected,Cost Illness,Galcanezumab
cost_illness,lasmiditan,2,Undirected,Cost Illness,Lasmiditan
disability,erenumab,31,Undirected,Disability,Erenumab
disability,fremanezumab,18,Undirected,Disability,Fremanezumab
disability,galcanezumab,27,Undirected,Disability,Galcanezumab
disability,lasmiditan,6,Undirected,Disability,Lasmiditan
erenumab,fremanezumab,43,Undirected,Erenumab,Fremanezumab
erenumab,galcanezumab,45,Undirected,Erenumab,Galcanezumab
erenumab,lasmiditan,2,Undirected,Erenumab,Lasmiditan
erenumab,quality_life,45,Undirected,Erenumab,Quality Life
fremanezumab,galcanezumab,41,Undirected,Fremanezumab,Galcanezumab
fremanezumab,lasmiditan,2,Undirected,Fremanezumab,Lasmiditan
fremanezumab,quality_life,31,Undirected,Fremanezumab,Quality Life
galcanezumab,lasmiditan,2,Undirected,Galcanezumab,Lasmiditan
galcanezumab,quality_life,43,Undirected,Galcanezumab,Quality Life
lasmiditan,quality_life,3,Undirected,Lasmiditan,Quality Life
anxiety,stress,69,Undirected,Anxiety,Stress
comorbidity,stress,56,Undirected,Comorbidity,Stress
depression,stress,79,Undirected,Depression,Stress
anxiety,asthma,11,Undirected,Anxiety,Asthma
asthma,comorbidity,18,Undirected,Asthma,Comorbidity
neurogenic_inflammation,quality_life,3,Undirected,Neurogenic Inflammation,Quality Life
quality_life,relaxation,18,Undirected,Quality Life,Relaxation
alzheimer,depression,3,Undirected,Alzheimer,Depression
alzheimer,diet,2,Undirected,Alzheimer,Diet
alzheimer,epilepsy,6,Undirected,Alzheimer,Epilepsy
alzheimer,parkinson,5,Undirected,Alzheimer,Parkinson
alzheimer,quality_life,3,Undirected,Alzheimer,Quality Life
depression,diet,9,Undirected,Depression,Diet
depression,parkinson,5,Undirected,Depression,Parkinson
diet,epilepsy,4,Undirected,Diet,Epilepsy
diet,ketogenic_diet,16,Undirected,Diet,Ketogenic Diet
diet,parkinson,2,Undirected,Diet,Parkinson
diet,quality_life,17,Undirected,Diet,Quality Life
epilepsy,ketogenic_diet,2,Undirected,Epilepsy,Ketogenic Diet
epilepsy,parkinson,6,Undirected,Epilepsy,Parkinson
ketogenic_diet,quality_life,3,Undirected,Ketogenic Diet,Quality Life
parkinson,quality_life,4,Undirected,Parkinson,Quality Life
anxiety,cluster_headache,4,Undirected,Anxiety,Cluster Headache
anxiety,tension_type_headache,5,Undirected,Anxiety,Tension Type Headache
cluster_headache,comorbidity,13,Undirected,Cluster Headache,Comorbidity
cluster_headache,depression,8,Undirected,Cluster Headache,Depression
cluster_headache,tension_type_headache,3,Undirected,Cluster Headache,Tension Type Headache
comorbidity,tension_type_headache,5,Undirected,Comorbidity,Tension Type Headache
depression,tension_type_headache,5,Undirected,Depression,Tension Type Headache
calcitonin_gene_related,comorbidity,9,Undirected,Calcitonin Gene-Related,Comorbidity
calcitonin_gene_related,cortical_spreading_depression,5,Undirected,Calcitonin Gene-Related,Cortical Spreading Depression
calcitonin_gene_related,depression,16,Undirected,Calcitonin Gene-Related,Depression
calcitonin_gene_related,estrogen,2,Undirected,Calcitonin Gene-Related,Estrogen
calcitonin_gene_related,hormonal,3,Undirected,Calcitonin Gene-Related,Hormonal
calcitonin_gene_related,hypertension,5,Undirected,Calcitonin Gene-Related,Hypertension
calcitonin_gene_related,inflammatory,29,Undirected,Calcitonin Gene-Related,Inflammatory
calcitonin_gene_related,stroke,3,Undirected,Calcitonin Gene-Related,Stroke
comorbidity,cortical_spreading_depression,5,Undirected,Comorbidity,Cortical Spreading Depression
comorbidity,estrogen,3,Undirected,Comorbidity,Estrogen
comorbidity,hormonal,9,Undirected,Comorbidity,Hormonal
comorbidity,hypertension,29,Undirected,Comorbidity,Hypertension
comorbidity,inflammatory,26,Undirected,Comorbidity,Inflammatory
comorbidity,patent_foramen_ovale,4,Undirected,Comorbidity,Patent Foramen Ovale
comorbidity,stroke,31,Undirected,Comorbidity,Stroke
cortical_spreading_depression,depression,24,Undirected,Cortical Spreading Depression,Depression
cortical_spreading_depression,hypertension,2,Undirected,Cortical Spreading Depression,Hypertension
cortical_spreading_depression,inflammatory,7,Undirected,Cortical Spreading Depression,Inflammatory
cortical_spreading_depression,patent_foramen_ovale,3,Undirected,Cortical Spreading Depression,Patent Foramen Ovale
cortical_spreading_depression,stroke,9,Undirected,Cortical Spreading Depression,Stroke
depression,estrogen,5,Undirected,Depression,Estrogen
depression,hormonal,11,Undirected,Depression,Hormonal
depression,hypertension,24,Undirected,Depression,Hypertension
depression,inflammatory,29,Undirected,Depression,Inflammatory
depression,patent_foramen_ovale,3,Undirected,Depression,Patent Foramen Ovale
depression,stroke,23,Undirected,Depression,Stroke
estrogen,hormonal,18,Undirected,Estrogen,Hormonal
estrogen,hypertension,4,Undirected,Estrogen,Hypertension
estrogen,inflammatory,3,Undirected,Estrogen,Inflammatory
estrogen,patent_foramen_ovale,3,Undirected,Estrogen,Patent Foramen Ovale
estrogen,stroke,11,Undirected,Estrogen,Stroke
hormonal,hypertension,3,Undirected,Hormonal,Hypertension
hormonal,inflammatory,6,Undirected,Hormonal,Inflammatory
hormonal,stroke,11,Undirected,Hormonal,Stroke
hypertension,inflammatory,9,Undirected,Hypertension,Inflammatory
hypertension,patent_foramen_ovale,4,Undirected,Hypertension,Patent Foramen Ovale
hypertension,pfo_closure,2,Undirected,Hypertension,Pfo Closure
hypertension,stroke,33,Undirected,Hypertension,Stroke
inflammatory,patent_foramen_ovale,2,Undirected,Inflammatory,Patent Foramen Ovale
inflammatory,stroke,8,Undirected,Inflammatory,Stroke
patent_foramen_ovale,pfo_closure,23,Undirected,Patent Foramen Ovale,Pfo Closure
patent_foramen_ovale,stroke,23,Undirected,Patent Foramen Ovale,Stroke
pfo_closure,stroke,11,Undirected,Pfo Closure,Stroke
comorbidity,economic_burden,2,Undirected,Comorbidity,Economic Burden
comorbidity,fremanezumab,4,Undirected,Comorbidity,Fremanezumab
comorbidity,treatment_outcome,23,Undirected,Comorbidity,Treatment Outcome
depression,fremanezumab,7,Undirected,Depression,Fremanezumab
depression,monthly_migraine_days,6,Undirected,Depression,Monthly Migraine Days
depression,treatment_outcome,51,Undirected,Depression,Treatment Outcome
fremanezumab,monthly_migraine_days,16,Undirected,Fremanezumab,Monthly Migraine Days
fremanezumab,treatment_outcome,29,Undirected,Fremanezumab,Treatment Outcome
monthly_migraine_days,treatment_outcome,47,Undirected,Monthly Migraine Days,Treatment Outcome
quality_life,stress,60,Undirected,Quality Life,Stress
combined_modality_therapy,comorbidity,3,Undirected,Combined Modality Therapy,Comorbidity
combined_modality_therapy,disability,10,Undirected,Combined Modality Therapy,Disability
combined_modality_therapy,exercise,5,Undirected,Combined Modality Therapy,Exercise
combined_modality_therapy,physical_therapy,2,Undirected,Combined Modality Therapy,Physical Therapy
combined_modality_therapy,physical_therapy_modalities,4,Undirected,Combined Modality Therapy,Physical Therapy Modalities
combined_modality_therapy,trigeminal,4,Undirected,Combined Modality Therapy,Trigeminal
comorbidity,exercise,8,Undirected,Comorbidity,Exercise
comorbidity,physical_therapy_modalities,2,Undirected,Comorbidity,Physical Therapy Modalities
comorbidity,trigeminal,14,Undirected,Comorbidity,Trigeminal
disability,exercise,32,Undirected,Disability,Exercise
disability,physical_therapy,10,Undirected,Disability,Physical Therapy
disability,physical_therapy_modalities,9,Undirected,Disability,Physical Therapy Modalities
disability,trigeminal,11,Undirected,Disability,Trigeminal
exercise,physical_therapy,18,Undirected,Exercise,Physical Therapy
exercise,physical_therapy_modalities,12,Undirected,Exercise,Physical Therapy Modalities
physical_therapy,physical_therapy_modalities,12,Undirected,Physical Therapy,Physical Therapy Modalities
physical_therapy,trigeminal,3,Undirected,Physical Therapy,Trigeminal
physical_therapy_modalities,trigeminal,2,Undirected,Physical Therapy Modalities,Trigeminal
calcitonin_gene_related,headache_days,30,Undirected,Calcitonin Gene-Related,Headache Days
calcitonin_gene_related,treatment_outcome,68,Undirected,Calcitonin Gene-Related,Treatment Outcome
galcanezumab,headache_days,30,Undirected,Galcanezumab,Headache Days
galcanezumab,treatment_outcome,35,Undirected,Galcanezumab,Treatment Outcome
headache_days,quality_life,117,Undirected,Headache Days,Quality Life
headache_days,treatment_outcome,105,Undirected,Headache Days,Treatment Outcome
quality_life,treatment_outcome,185,Undirected,Quality Life,Treatment Outcome
disability,disability_evaluation,66,Undirected,Disability,Disability Evaluation
disability,physiotherapy,6,Undirected,Disability,Physiotherapy
disability_evaluation,physiotherapy,2,Undirected,Disability Evaluation,Physiotherapy
disability_evaluation,quality_life,37,Undirected,Disability Evaluation,Quality Life
physiotherapy,quality_life,5,Undirected,Physiotherapy,Quality Life
disability,hormonal,5,Undirected,Disability,Hormonal
disability,menstrual,10,Undirected,Disability,Menstrual
disability,menstrual_migraine,4,Undirected,Disability,Menstrual Migraine
disability,stroke,8,Undirected,Disability,Stroke
hormonal,hormone_replacement_therapy,2,Undirected,Hormonal,Hormone Replacement Therapy
hormonal,menopause,7,Undirected,Hormonal,Menopause
hormonal,menstrual,12,Undirected,Hormonal,Menstrual
hormonal,menstrual_migraine,3,Undirected,Hormonal,Menstrual Migraine
hormonal,quality_life,11,Undirected,Hormonal,Quality Life
hormone_replacement_therapy,menopause,2,Undirected,Hormone Replacement Therapy,Menopause
hormone_replacement_therapy,menstrual,2,Undirected,Hormone Replacement Therapy,Menstrual
hormone_replacement_therapy,stroke,2,Undirected,Hormone Replacement Therapy,Stroke
menopause,menstrual,3,Undirected,Menopause,Menstrual
menopause,quality_life,3,Undirected,Menopause,Quality Life
menopause,stroke,5,Undirected,Menopause,Stroke
menstrual,menstrual_migraine,11,Undirected,Menstrual,Menstrual Migraine
menstrual,quality_life,8,Undirected,Menstrual,Quality Life
menstrual,stroke,3,Undirected,Menstrual,Stroke
menstrual_migraine,quality_life,6,Undirected,Menstrual Migraine,Quality Life
quality_life,stroke,11,Undirected,Quality Life,Stroke
anxiety,disability,107,Undirected,Anxiety,Disability
anxiety,medication_overuse,3,Undirected,Anxiety,Medication Overuse
anxiety,medication_overuse_headache,11,Undirected,Anxiety,Medication Overuse Headache
anxiety,quality,20,Undirected,Anxiety,Quality
depression,disability,130,Undirected,Depression,Disability
depression,disease_management,2,Undirected,Depression,Disease Management
depression,medication_overuse,3,Undirected,Depression,Medication Overuse
depression,medication_overuse_headache,14,Undirected,Depression,Medication Overuse Headache
depression,quality,19,Undirected,Depression,Quality
disability,disease_management,4,Undirected,Disability,Disease Management
disability,medication_overuse,9,Undirected,Disability,Medication Overuse
disability,medication_overuse_headache,20,Undirected,Disability,Medication Overuse Headache
disability,quality,28,Undirected,Disability,Quality
disease_management,quality,2,Undirected,Disease Management,Quality
disease_management,quality_life,5,Undirected,Disease Management,Quality Life
medication_overuse,medication_overuse_headache,6,Undirected,Medication Overuse,Medication Overuse Headache
medication_overuse,quality,4,Undirected,Medication Overuse,Quality
medication_overuse,quality_life,10,Undirected,Medication Overuse,Quality Life
medication_overuse_headache,quality,3,Undirected,Medication Overuse Headache,Quality
medication_overuse_headache,quality_life,26,Undirected,Medication Overuse Headache,Quality Life
quality,quality_life,42,Undirected,Quality,Quality Life
inflammatory,quality_life,26,Undirected,Inflammatory,Quality Life
acupuncture,exercise,7,Undirected,Acupuncture,Exercise
acupuncture,physical_therapy,5,Undirected,Acupuncture,Physical Therapy
acupuncture,quality_life,28,Undirected,Acupuncture,Quality Life
exercise,quality_life,30,Undirected,Exercise,Quality Life
physical_therapy,quality_life,12,Undirected,Physical Therapy,Quality Life
anxiety,insomnia,20,Undirected,Anxiety,Insomnia
anxiety,mindfulness,10,Undirected,Anxiety,Mindfulness
comorbidity,insomnia,25,Undirected,Comorbidity,Insomnia
comorbidity,mindfulness,3,Undirected,Comorbidity,Mindfulness
depression,insomnia,24,Undirected,Depression,Insomnia
depression,mindfulness,12,Undirected,Depression,Mindfulness
central_sensitization,comorbidity,16,Undirected,Central Sensitization,Comorbidity
central_sensitization,stress,4,Undirected,Central Sensitization,Stress
cost_illness,social_stigma,4,Undirected,Cost Illness,Social Stigma
cost_illness,stigma,6,Undirected,Cost Illness,Stigma
disability,social_stigma,8,Undirected,Disability,Social Stigma
disability,stigma,15,Undirected,Disability,Stigma
quality_life,social_stigma,7,Undirected,Quality Life,Social Stigma
quality_life,stigma,16,Undirected,Quality Life,Stigma
social_stigma,stigma,16,Undirected,Social Stigma,Stigma
botulinum,calcitonin_gene_related,20,Undirected,Botulinum,Calcitonin Gene-Related
botulinum,comorbidity,2,Undirected,Botulinum,Comorbidity
botulinum,depression,7,Undirected,Botulinum,Depression
botulinum,therapy,11,Undirected,Botulinum,Therapy
botulinum,transcranial_magnetic,3,Undirected,Botulinum,Transcranial Magnetic
calcitonin_gene_related,therapy,18,Undirected,Calcitonin Gene-Related,Therapy
calcitonin_gene_related,transcranial_magnetic,6,Undirected,Calcitonin Gene-Related,Transcranial Magnetic
comorbidity,therapy,8,Undirected,Comorbidity,Therapy
comorbidity,transcranial_magnetic,3,Undirected,Comorbidity,Transcranial Magnetic
depression,therapy,13,Undirected,Depression,Therapy
depression,transcranial_magnetic,11,Undirected,Depression,Transcranial Magnetic
diet,disability,20,Undirected,Diet,Disability
diet,inflammatory,8,Undirected,Diet,Inflammatory
diet,migraine_treatment,3,Undirected,Diet,Migraine Treatment
diet,monthly_migraine_days,2,Undirected,Diet,Monthly Migraine Days
disability,inflammatory,15,Undirected,Disability,Inflammatory
disability,migraine_treatment,3,Undirected,Disability,Migraine Treatment
disability,monthly_migraine_days,21,Undirected,Disability,Monthly Migraine Days
inflammatory,migraine_treatment,2,Undirected,Inflammatory,Migraine Treatment
inflammatory,monthly_migraine_days,2,Undirected,Inflammatory,Monthly Migraine Days
migraine_treatment,quality_life,4,Undirected,Migraine Treatment,Quality Life
monthly_migraine_days,quality_life,38,Undirected,Monthly Migraine Days,Quality Life
estrogen,menopause,7,Undirected,Estrogen,Menopause
estrogen,quality_life,5,Undirected,Estrogen,Quality Life
estrogen,vascular,8,Undirected,Estrogen,Vascular
hormonal,vascular,9,Undirected,Hormonal,Vascular
menopause,vascular,3,Undirected,Menopause,Vascular
stroke,vascular,92,Undirected,Stroke,Vascular
circadian_rhythm,comorbidity,4,Undirected,Circadian Rhythm,Comorbidity
circadian_rhythm,insomnia,5,Undirected,Circadian Rhythm,Insomnia
comorbidity,restless_legs_syndrome,14,Undirected,Comorbidity,Restless Legs Syndrome
insomnia,restless_legs_syndrome,3,Undirected,Insomnia,Restless Legs Syndrome
comorbidity,diet,5,Undirected,Comorbidity,Diet
epilepsy,nerve_stimulation,8,Undirected,Epilepsy,Nerve Stimulation
comorbidity,treatment,5,Undirected,Comorbidity,Treatment
behavioral_treatment,biofeedback,3,Undirected,Behavioral Treatment,Biofeedback
behavioral_treatment,relaxation,3,Undirected,Behavioral Treatment,Relaxation
behavioral_treatment,relaxation_therapy,2,Undirected,Behavioral Treatment,Relaxation Therapy
biofeedback,botulinum,2,Undirected,Biofeedback,Botulinum
biofeedback,chronic_pain,2,Undirected,Biofeedback,Chronic Pain
biofeedback,cognitive_behavioral_therapy,10,Undirected,Biofeedback,Cognitive Behavioral Therapy
biofeedback,nerve_stimulation,2,Undirected,Biofeedback,Nerve Stimulation
biofeedback,quality_life,12,Undirected,Biofeedback,Quality Life
biofeedback,relaxation,17,Undirected,Biofeedback,Relaxation
biofeedback,relaxation_therapy,8,Undirected,Biofeedback,Relaxation Therapy
biofeedback,topiramate,3,Undirected,Biofeedback,Topiramate
biofeedback,treatment_outcome,6,Undirected,Biofeedback,Treatment Outcome
botulinum,botulinum_toxins,85,Undirected,Botulinum,Botulinum Toxins
botulinum,chronic_pain,4,Undirected,Botulinum,Chronic Pain
botulinum,cognitive_behavioral_therapy,3,Undirected,Botulinum,Cognitive Behavioral Therapy
botulinum,nerve_stimulation,4,Undirected,Botulinum,Nerve Stimulation
botulinum,quality_life,51,Undirected,Botulinum,Quality Life
botulinum,relaxation,2,Undirected,Botulinum,Relaxation
botulinum,topiramate,14,Undirected,Botulinum,Topiramate
botulinum,treatment_outcome,51,Undirected,Botulinum,Treatment Outcome
botulinum_toxins,chronic_pain,3,Undirected,Botulinum Toxins,Chronic Pain
botulinum_toxins,cognitive_behavioral_therapy,2,Undirected,Botulinum Toxins,Cognitive Behavioral Therapy
botulinum_toxins,nerve_stimulation,2,Undirected,Botulinum Toxins,Nerve Stimulation
botulinum_toxins,quality_life,50,Undirected,Botulinum Toxins,Quality Life
botulinum_toxins,topiramate,9,Undirected,Botulinum Toxins,Topiramate
botulinum_toxins,treatment_outcome,52,Undirected,Botulinum Toxins,Treatment Outcome
chronic_pain,nerve_stimulation,2,Undirected,Chronic Pain,Nerve Stimulation
chronic_pain,quality_life,22,Undirected,Chronic Pain,Quality Life
chronic_pain,relaxation,5,Undirected,Chronic Pain,Relaxation
chronic_pain,topiramate,2,Undirected,Chronic Pain,Topiramate
chronic_pain,treatment_outcome,12,Undirected,Chronic Pain,Treatment Outcome
chronic_pain,vagus_nerve_stimulation,2,Undirected,Chronic Pain,Vagus Nerve Stimulation
cognitive_behavioral_therapy,nerve_stimulation,2,Undirected,Cognitive Behavioral Therapy,Nerve Stimulation
cognitive_behavioral_therapy,quality_life,10,Undirected,Cognitive Behavioral Therapy,Quality Life
cognitive_behavioral_therapy,relaxation,9,Undirected,Cognitive Behavioral Therapy,Relaxation
cognitive_behavioral_therapy,relaxation_therapy,6,Undirected,Cognitive Behavioral Therapy,Relaxation Therapy
cognitive_behavioral_therapy,topiramate,3,Undirected,Cognitive Behavioral Therapy,Topiramate
cognitive_behavioral_therapy,treatment_outcome,5,Undirected,Cognitive Behavioral Therapy,Treatment Outcome
nerve_stimulation,quality_life,13,Undirected,Nerve Stimulation,Quality Life
nerve_stimulation,relaxation,2,Undirected,Nerve Stimulation,Relaxation
nerve_stimulation,topiramate,4,Undirected,Nerve Stimulation,Topiramate
nerve_stimulation,treatment_outcome,36,Undirected,Nerve Stimulation,Treatment Outcome
nerve_stimulation,vagus_nerve_stimulation,32,Undirected,Nerve Stimulation,Vagus Nerve Stimulation
quality_life,relaxation_therapy,3,Undirected,Quality Life,Relaxation Therapy
quality_life,topiramate,20,Undirected,Quality Life,Topiramate
quality_life,vagus_nerve_stimulation,5,Undirected,Quality Life,Vagus Nerve Stimulation
relaxation,relaxation_therapy,8,Undirected,Relaxation,Relaxation Therapy
relaxation,topiramate,2,Undirected,Relaxation,Topiramate
relaxation,treatment_outcome,14,Undirected,Relaxation,Treatment Outcome
relaxation_therapy,treatment_outcome,2,Undirected,Relaxation Therapy,Treatment Outcome
topiramate,treatment_outcome,27,Undirected,Topiramate,Treatment Outcome
treatment_outcome,vagus_nerve_stimulation,14,Undirected,Treatment Outcome,Vagus Nerve Stimulation
migraine_therapy,quality_life,110,Undirected,Migraine Therapy,Quality Life
central_sensitization,chronic_pain,5,Undirected,Central Sensitization,Chronic Pain
central_sensitization,disability,12,Undirected,Central Sensitization,Disability
central_sensitization,fibromyalgia,7,Undirected,Central Sensitization,Fibromyalgia
central_sensitization,irritable_bowel,4,Undirected,Central Sensitization,Irritable Bowel
central_sensitization,irritable_bowel_syndrome,3,Undirected,Central Sensitization,Irritable Bowel Syndrome
chronic_pain,comorbidity,16,Undirected,Chronic Pain,Comorbidity
chronic_pain,disability,18,Undirected,Chronic Pain,Disability
chronic_pain,fibromyalgia,10,Undirected,Chronic Pain,Fibromyalgia
chronic_pain,irritable_bowel,3,Undirected,Chronic Pain,Irritable Bowel
chronic_pain,irritable_bowel_syndrome,2,Undirected,Chronic Pain,Irritable Bowel Syndrome
comorbidity,fibromyalgia,31,Undirected,Comorbidity,Fibromyalgia
comorbidity,irritable_bowel,16,Undirected,Comorbidity,Irritable Bowel
comorbidity,irritable_bowel_syndrome,7,Undirected,Comorbidity,Irritable Bowel Syndrome
disability,fibromyalgia,12,Undirected,Disability,Fibromyalgia
disability,irritable_bowel,4,Undirected,Disability,Irritable Bowel
fibromyalgia,irritable_bowel,8,Undirected,Fibromyalgia,Irritable Bowel
fibromyalgia,irritable_bowel_syndrome,4,Undirected,Fibromyalgia,Irritable Bowel Syndrome
irritable_bowel,irritable_bowel_syndrome,7,Undirected,Irritable Bowel,Irritable Bowel Syndrome
inflammatory,vascular,32,Undirected,Inflammatory,Vascular
phytotherapy,vascular,3,Undirected,Phytotherapy,Vascular
anxiety,brainstem,2,Undirected,Anxiety,Brainstem
anxiety,hormonal,7,Undirected,Anxiety,Hormonal
anxiety,inflammatory,17,Undirected,Anxiety,Inflammatory
anxiety,neuropathic_pain,3,Undirected,Anxiety,Neuropathic Pain
brainstem,comorbidity,2,Undirected,Brainstem,Comorbidity
brainstem,disability,4,Undirected,Brainstem,Disability
brainstem,inflammatory,4,Undirected,Brainstem,Inflammatory
brainstem,quality_life,2,Undirected,Brainstem,Quality Life
brainstem,stress,2,Undirected,Brainstem,Stress
cluster_headache,disability,10,Undirected,Cluster Headache,Disability
cluster_headache,inflammatory,4,Undirected,Cluster Headache,Inflammatory
cluster_headache,neuropathic_pain,2,Undirected,Cluster Headache,Neuropathic Pain
cluster_headache,quality_life,19,Undirected,Cluster Headache,Quality Life
cluster_headache,stress,2,Undirected,Cluster Headache,Stress
comorbidity,management,5,Undirected,Comorbidity,Management
comorbidity,medication_overuse_headache,12,Undirected,Comorbidity,Medication Overuse Headache
comorbidity,neuropathic_pain,2,Undirected,Comorbidity,Neuropathic Pain
depression,neuropathic_pain,2,Undirected,Depression,Neuropathic Pain
disability,stress,50,Undirected,Disability,Stress
hormonal,stress,4,Undirected,Hormonal,Stress
inflammatory,medication_overuse_headache,5,Undirected,Inflammatory,Medication Overuse Headache
inflammatory,stress,11,Undirected,Inflammatory,Stress
management,quality_life,3,Undirected,Management,Quality Life
medication_overuse_headache,stress,2,Undirected,Medication Overuse Headache,Stress
neuropathic_pain,quality_life,3,Undirected,Neuropathic Pain,Quality Life
calcitonin_gene_related,calcitonin_gene_related_use,8,Undirected,Calcitonin Gene-Related,Calcitonin Gene-Related Use
calcitonin_gene_related,migraine_therapy,72,Undirected,Calcitonin Gene-Related,Migraine Therapy
calcitonin_gene_related,trigeminovascular,18,Undirected,Calcitonin Gene-Related,Trigeminovascular
calcitonin_gene_related,vascular,41,Undirected,Calcitonin Gene-Related,Vascular
calcitonin_gene_related_peptid,calcitonin_gene_related_use,3,Undirected,Calcitonin Gene-Related Peptide,Calcitonin Gene-Related Use
calcitonin_gene_related_peptid,inflammatory,7,Undirected,Calcitonin Gene-Related Peptide,Inflammatory
calcitonin_gene_related_peptid,migraine_therapy,23,Undirected,Calcitonin Gene-Related Peptide,Migraine Therapy
calcitonin_gene_related_peptid,trigeminovascular,10,Undirected,Calcitonin Gene-Related Peptide,Trigeminovascular
calcitonin_gene_related_peptid,vascular,21,Undirected,Calcitonin Gene-Related Peptide,Vascular
calcitonin_gene_related_use,inflammatory,2,Undirected,Calcitonin Gene-Related Use,Inflammatory
calcitonin_gene_related_use,migraine_therapy,6,Undirected,Calcitonin Gene-Related Use,Migraine Therapy
calcitonin_gene_related_use,vascular,2,Undirected,Calcitonin Gene-Related Use,Vascular
inflammatory,migraine_therapy,18,Undirected,Inflammatory,Migraine Therapy
inflammatory,trigeminovascular,7,Undirected,Inflammatory,Trigeminovascular
migraine_therapy,trigeminovascular,3,Undirected,Migraine Therapy,Trigeminovascular
migraine_therapy,vascular,23,Undirected,Migraine Therapy,Vascular
trigeminovascular,vascular,32,Undirected,Trigeminovascular,Vascular
comorbidity,restless_legs,14,Undirected,Comorbidity,Restless Legs
depression,restless_legs,8,Undirected,Depression,Restless Legs
depression,restless_legs_syndrome,8,Undirected,Depression,Restless Legs Syndrome
epilepsy,stroke,20,Undirected,Epilepsy,Stroke
restless_legs,restless_legs_syndrome,14,Undirected,Restless Legs,Restless Legs Syndrome
restless_legs,stroke,2,Undirected,Restless Legs,Stroke
restless_legs_syndrome,stroke,2,Undirected,Restless Legs Syndrome,Stroke
anxiety,tth,13,Undirected,Anxiety,Tth
comorbidity,tth,19,Undirected,Comorbidity,Tth
depression,tth,18,Undirected,Depression,Tth
anxiety,cognitive_behavioral_therapy,2,Undirected,Anxiety,Cognitive Behavioral Therapy
anxiety,headache_days,35,Undirected,Anxiety,Headache Days
anxiety,psychiatric_comorbidity,3,Undirected,Anxiety,Psychiatric Comorbidity
cognitive_behavioral_therapy,comorbidity,7,Undirected,Cognitive Behavioral Therapy,Comorbidity
cognitive_behavioral_therapy,depression,3,Undirected,Cognitive Behavioral Therapy,Depression
cognitive_behavioral_therapy,headache_days,2,Undirected,Cognitive Behavioral Therapy,Headache Days
cognitive_behavioral_therapy,mindfulness,4,Undirected,Cognitive Behavioral Therapy,Mindfulness
cognitive_behavioral_therapy,psychiatric_comorbidity,3,Undirected,Cognitive Behavioral Therapy,Psychiatric Comorbidity
