Id,Label,Category,Frequency
stress_disorders,Stress Disorders,trigger_mechanisms,14
anxiety_disorders,Anxiety Disorders,true_comorbidities,15
pain_management,Pain Management,interventions,96
acupuncture_therapy,Acupuncture Therapy,interventions,97
psychotherapy,Psychotherapy,interventions,8
electric_stimulation_therapy,Electric Stimulation Therapy,interventions,40
trigger_points,Trigger Points,trigger_mechanisms,8
drug_therapy,Drug Therapy,interventions,75
cerebrovascular,Cerebrovascular,trigger_mechanisms,9
trigeminal,Trigeminal,trigger_mechanisms,19
monoclonal_antibodies,Monoclonal Antibodies,interventions,30
post_traumatic_stress_disorder,Post-Traumatic Stress Disorder,trigger_mechanisms,3
ptsd,Ptsd,true_comorbidities,3
interictal_burden,Interictal Burden,social_impact,6
yoga,Yoga,interventions,11
medication_overuse_headache,Medication Overuse Headache,interventions,27
behavioral_therapy,Behavioral Therapy,interventions,6
behavior_therapy,Behavior Therapy,interventions,20
sleep_apnea,Sleep Apnea,true_comorbidities,10
bipolar,Bipolar,true_comorbidities,10
burden,Burden,social_impact,22
absenteeism,Absenteeism,social_impact,13
disability_adjusted_life_years,Disability-Adjusted Life Years,social_impact,3
cost,Cost,social_impact,5
parkinson,Parkinson,true_comorbidities,6
sham_acupuncture,Sham Acupuncture,interventions,5
sleep_quality,Sleep Quality,social_impact,18
oxidative_stress,Oxidative Stress,trigger_mechanisms,17
inflammatory_bowel_diseases,Inflammatory Bowel Diseases,trigger_mechanisms,3
estrogen,Estrogen,trigger_mechanisms,10
estrogens,Estrogens,trigger_mechanisms,6
pharmacotherapy,Pharmacotherapy,interventions,4
trigeminal_neuralgia,Trigeminal Neuralgia,trigger_mechanisms,5
manual_therapy,Manual Therapy,interventions,14
alzheimer,Alzheimer,true_comorbidities,6
psychological_treatment,Psychological Treatment,interventions,3
acupuncture_points,Acupuncture Points,interventions,40
acute_therapy,Acute Therapy,interventions,3
posttraumatic_stress_disorder,Posttraumatic Stress Disorder,trigger_mechanisms,4
life_quality,Life Quality,social_impact,4
psychological_distress,Psychological Distress,trigger_mechanisms,4
microvascular_angina,Microvascular Angina,trigger_mechanisms,4
dietary_approaches_stop_hypert,Dietary Approaches Stop Hypertension,true_comorbidities,5
ischemic_stroke,Ischemic Stroke,true_comorbidities,26
self_management,Self-Management,interventions,11
aerobic_exercise,Aerobic Exercise,interventions,8
migraine_disability,Migraine Disability,social_impact,3
cerebrovascular_disease,Cerebrovascular Disease,trigger_mechanisms,8
bipolar_disorder,Bipolar Disorder,true_comorbidities,11
health_care_costs,Health Care Costs,social_impact,10
central_sensitization,Central Sensitization,trigger_mechanisms,12
acute_treatment,Acute Treatment,interventions,19
onabotulinumtoxina,Onabotulinumtoxina,interventions,40
disease_burden,Disease Burden,social_impact,6
prophylactic_treatment,Prophylactic Treatment,interventions,20
intervention,Intervention,interventions,5
parkinson_disease,Parkinson Disease,true_comorbidities,3
health_related_quality_life,Health-Related Quality Life,social_impact,21
thrombolytic_therapy,Thrombolytic Therapy,interventions,7
cardiovascular_diseases,Cardiovascular Diseases,trigger_mechanisms,23
restless_legs,Restless Legs,true_comorbidities,7
treatment_patterns,Treatment Patterns,interventions,3
central_nervous_sensitization,Central Nervous Sensitization,trigger_mechanisms,6
preventive_treatment,Preventive Treatment,interventions,19
stigmatization,Stigmatization,social_impact,3
duration_therapy,Duration Therapy,interventions,4
dietary,Dietary,interventions,7
anti_cgrp_monoclonal_antibodie,Anti-Cgrp Monoclonal Antibodies,interventions,5
chronic_therapy,Chronic Therapy,interventions,7
medication_overuse_headache,Medication-Overuse Headache,interventions,9
internet_based_intervention,Internet-Based Intervention,interventions,3
cost_benefit,Cost-Benefit,social_impact,14
treatment_response,Treatment Response,interventions,3
menstrual_cycle,Menstrual Cycle,trigger_mechanisms,4
medication,Medication,interventions,6
asthma,Asthma,true_comorbidities,14
work_productivity,Work Productivity,social_impact,11
self_medication,Self Medication,interventions,3
electroacupuncture,Electroacupuncture,interventions,19
costs,Costs,social_impact,5
quality_adjusted_life_years,Quality-Adjusted Life Years,social_impact,7
pulsed_radiofrequency_treatmen,Pulsed Radiofrequency Treatment,interventions,5
progressive_muscle_relaxation,Progressive Muscle Relaxation,interventions,4
exercise_therapy,Exercise Therapy,interventions,20
desensitization,Desensitization,trigger_mechanisms,3
cerebrovascular_disorders,Cerebrovascular Disorders,trigger_mechanisms,4
triggers,Triggers,trigger_mechanisms,9
dietary_supplements,Dietary Supplements,interventions,28
mechanism,Mechanism,trigger_mechanisms,4
trigger,Trigger,trigger_mechanisms,11
botulinum_toxin,Botulinum Toxin,interventions,17
treatment_failure,Treatment Failure,interventions,11
diet_therapy,Diet Therapy,interventions,5
hormonal_contraception,Hormonal Contraception,trigger_mechanisms,3
cryptogenic_stroke,Cryptogenic Stroke,true_comorbidities,3
estrogen_replacement,Estrogen Replacement,trigger_mechanisms,3
premenopause,Premenopause,trigger_mechanisms,3
cluster_therapy,Cluster Therapy,interventions,4
hemorrhagic_stroke,Hemorrhagic Stroke,true_comorbidities,3
anti_inflammatory_dosage,Anti-Inflammatory Dosage,trigger_mechanisms,3
menstrually_related_migraine,Menstrually Related Migraine,trigger_mechanisms,6
botulinum_toxin_type,Botulinum Toxin Type,interventions,10
combination_therapy,Combination Therapy,interventions,3
onabotulinum_toxin,Onabotulinum Toxin,interventions,3
cgrp_monoclonal_antibodies,Cgrp Monoclonal Antibodies,interventions,5
trigeminal_autonomic_cephalalg,Trigeminal Autonomic Cephalalgias,trigger_mechanisms,4
onabotulinumtoxin,Onabotulinumtoxin,interventions,5
migraine_specific_quality_life,Migraine-Specific Quality Life Questionnaire,social_impact,3
preventive_migraine_treatment,Preventive Migraine Treatment,interventions,3
preventive_therapy,Preventive Therapy,interventions,7
light_therapy,Light Therapy,interventions,3
cost_effectiveness,Cost-Effectiveness,social_impact,4
migraine_disability_assessment,Migraine Disability Assessment,social_impact,5
migraine_specific_quality_life,Migraine-Specific Quality Life,social_impact,6
migraine_without_therapy,Migraine Without Therapy,interventions,3
vestibular_therapy,Vestibular Therapy,interventions,3
global_burden_disease,Global Burden Disease,social_impact,3
presenteeism,Presenteeism,social_impact,6
headache_therapy,Headache Therapy,interventions,4
interventional,Interventional,interventions,7
propranolol,Propranolol,interventions,10
neuropathic_pain,Neuropathic Pain,true_comorbidities,4
drug_treatment,Drug Treatment,interventions,5
elimination_diet,Elimination Diet,interventions,3
weather,Weather,trigger_mechanisms,4
cardiovascular_disease,Cardiovascular Disease,trigger_mechanisms,11
cerebrovascular_circulation,Cerebrovascular Circulation,trigger_mechanisms,9
vasoconstriction,Vasoconstriction,trigger_mechanisms,4
cardiovascular_induced,Cardiovascular Induced,trigger_mechanisms,3
vascular_dementia,Vascular Dementia,trigger_mechanisms,3
trigger_factors,Trigger Factors,trigger_mechanisms,4
amitriptyline,Amitriptyline,interventions,10
stroke_young_adults,Stroke Young Adults,true_comorbidities,3
neuroinflammation,Neuroinflammation,trigger_mechanisms,6
trigeminal_ganglion,Trigeminal Ganglion,trigger_mechanisms,5
auricular_acupuncture,Auricular Acupuncture,interventions,4
radiotherapy,Radiotherapy,interventions,12
molecular_targeted_therapy,Molecular Targeted Therapy,interventions,23
medication_adherence,Medication Adherence,interventions,4
cupping_therapy,Cupping Therapy,interventions,3
acupuncture_analgesia,Acupuncture Analgesia,interventions,3
external_trigeminal_nerve_stim,External Trigeminal Nerve Stimulation,trigger_mechanisms,6
trigeminal_nerve,Trigeminal Nerve,trigger_mechanisms,15
retreatment,Retreatment,interventions,5
botulinum_neurotoxin,Botulinum Neurotoxin,interventions,3
withholding_treatment,Withholding Treatment,interventions,8
magnetic_field_therapy,Magnetic Field Therapy,interventions,4
time_to_treatment,Time-To-Treatment,interventions,5
fluid_therapy,Fluid Therapy,interventions,6
estrogen_replacement_therapy,Estrogen Replacement Therapy,trigger_mechanisms,3
attack_treatment,Attack Treatment,interventions,3
drug_costs,Drug Costs,social_impact,3
oxygen_inhalation_therapy,Oxygen Inhalation Therapy,interventions,4
emergency_treatment,Emergency Treatment,interventions,4
acupuncture_moxibustion,Acupuncture Moxibustion,interventions,7
mediterranean_diet,Mediterranean Diet,interventions,4
perimenopause,Perimenopause,trigger_mechanisms,3
ultrasonic_therapy,Ultrasonic Therapy,interventions,3
pregnancy_therapy,Pregnancy Therapy,interventions,3
non_pharmacological_treatment,Non-Pharmacological Treatment,interventions,5
acute_migraine_treatment,Acute Migraine Treatment,interventions,7
nonpharmacological_treatment,Nonpharmacological Treatment,interventions,3
stroke_like_migraine_attacks_a,Stroke-Like Migraine Attacks After Radiation Therapy Syndrome,true_comorbidities,3
mindfulness_based_stress_reduc,Mindfulness-Based Stress Reduction,trigger_mechanisms,3
valproate,Valproate,interventions,4
non_pharmacologic_treatment,Non-Pharmacologic Treatment,interventions,3
music_therapy,Music Therapy,interventions,3
