Id,Label,Category,Frequency,Category_Description
psychological_distress,Psychological Distress,trigger_mechanisms,4,诱发机制
microvascular_angina,Microvascular Angina,trigger_mechanisms,4,诱发机制
dietary_approaches_stop_hypert,Dietary Approaches Stop Hypertension,true_comorbidities,5,确证共病
ischemic_stroke,Ischemic Stroke,true_comorbidities,26,确证共病
self_management,Self-Management,interventions,11,干预措施
aerobic_exercise,Aerobic Exercise,interventions,8,干预措施
migraine_disability,Migraine Disability,social_impact,3,社会影响
cerebrovascular_disease,Cerebrovascular Disease,trigger_mechanisms,8,诱发机制
bipolar_disorder,Bipolar Disorder,true_comorbidities,11,确证共病
health_care_costs,Health Care Costs,social_impact,10,社会影响
central_sensitization,Central Sensitization,trigger_mechanisms,12,诱发机制
acute_treatment,Acute Treatment,interventions,19,干预措施
onabotulinumtoxina,Onabotulinumtoxina,interventions,40,干预措施
disease_burden,Disease Burden,social_impact,6,社会影响
prophylactic_treatment,Prophylactic Treatment,interventions,20,干预措施
intervention,Intervention,interventions,5,干预措施
parkinson_disease,Parkinson Disease,true_comorbidities,3,确证共病
health_related_quality_life,Health-Related Quality Life,social_impact,21,社会影响
thrombolytic_therapy,Thrombolytic Therapy,interventions,7,干预措施
cardiovascular_diseases,Cardiovascular Diseases,trigger_mechanisms,23,诱发机制
restless_legs,Restless Legs,true_comorbidities,7,确证共病
treatment_patterns,Treatment Patterns,interventions,3,干预措施
central_nervous_sensitization,Central Nervous Sensitization,trigger_mechanisms,6,诱发机制
preventive_treatment,Preventive Treatment,interventions,19,干预措施
stigmatization,Stigmatization,social_impact,3,社会影响
duration_therapy,Duration Therapy,interventions,4,干预措施
dietary,Dietary,interventions,7,干预措施
anti_cgrp_monoclonal_antibodie,Anti-Cgrp Monoclonal Antibodies,interventions,5,干预措施
chronic_therapy,Chronic Therapy,interventions,7,干预措施
medication_overuse_headache,Medication-Overuse Headache,interventions,9,干预措施
internet_based_intervention,Internet-Based Intervention,interventions,3,干预措施
cost_benefit,Cost-Benefit,social_impact,14,社会影响
treatment_response,Treatment Response,interventions,3,干预措施
menstrual_cycle,Menstrual Cycle,trigger_mechanisms,4,诱发机制
medication,Medication,interventions,6,干预措施
asthma,Asthma,true_comorbidities,14,确证共病
work_productivity,Work Productivity,social_impact,11,社会影响
self_medication,Self Medication,interventions,3,干预措施
electroacupuncture,Electroacupuncture,interventions,19,干预措施
costs,Costs,social_impact,5,社会影响
quality_adjusted_life_years,Quality-Adjusted Life Years,social_impact,7,社会影响
pulsed_radiofrequency_treatmen,Pulsed Radiofrequency Treatment,interventions,5,干预措施
progressive_muscle_relaxation,Progressive Muscle Relaxation,interventions,4,干预措施
exercise_therapy,Exercise Therapy,interventions,20,干预措施
desensitization,Desensitization,trigger_mechanisms,3,诱发机制
cerebrovascular_disorders,Cerebrovascular Disorders,trigger_mechanisms,4,诱发机制
triggers,Triggers,trigger_mechanisms,9,诱发机制
dietary_supplements,Dietary Supplements,interventions,28,干预措施
mechanism,Mechanism,trigger_mechanisms,4,诱发机制
trigger,Trigger,trigger_mechanisms,11,诱发机制
botulinum_toxin,Botulinum Toxin,interventions,17,干预措施
treatment_failure,Treatment Failure,interventions,11,干预措施
diet_therapy,Diet Therapy,interventions,5,干预措施
hormonal_contraception,Hormonal Contraception,trigger_mechanisms,3,诱发机制
cryptogenic_stroke,Cryptogenic Stroke,true_comorbidities,3,确证共病
estrogen_replacement,Estrogen Replacement,trigger_mechanisms,3,诱发机制
premenopause,Premenopause,trigger_mechanisms,3,诱发机制
cluster_therapy,Cluster Therapy,interventions,4,干预措施
hemorrhagic_stroke,Hemorrhagic Stroke,true_comorbidities,3,确证共病
anti_inflammatory_dosage,Anti-Inflammatory Dosage,trigger_mechanisms,3,诱发机制
menstrually_related_migraine,Menstrually Related Migraine,trigger_mechanisms,6,诱发机制
botulinum_toxin_type,Botulinum Toxin Type,interventions,10,干预措施
combination_therapy,Combination Therapy,interventions,3,干预措施
onabotulinum_toxin,Onabotulinum Toxin,interventions,3,干预措施
cgrp_monoclonal_antibodies,Cgrp Monoclonal Antibodies,interventions,5,干预措施
trigeminal_autonomic_cephalalg,Trigeminal Autonomic Cephalalgias,trigger_mechanisms,4,诱发机制
onabotulinumtoxin,Onabotulinumtoxin,interventions,5,干预措施
migraine_specific_quality_life,Migraine-Specific Quality Life Questionnaire,social_impact,3,社会影响
preventive_migraine_treatment,Preventive Migraine Treatment,interventions,3,干预措施
preventive_therapy,Preventive Therapy,interventions,7,干预措施
light_therapy,Light Therapy,interventions,3,干预措施
cost_effectiveness,Cost-Effectiveness,social_impact,4,社会影响
migraine_disability_assessment,Migraine Disability Assessment,social_impact,5,社会影响
migraine_specific_quality_life,Migraine-Specific Quality Life,social_impact,6,社会影响
migraine_without_therapy,Migraine Without Therapy,interventions,3,干预措施
vestibular_therapy,Vestibular Therapy,interventions,3,干预措施
global_burden_disease,Global Burden Disease,social_impact,3,社会影响
presenteeism,Presenteeism,social_impact,6,社会影响
headache_therapy,Headache Therapy,interventions,4,干预措施
interventional,Interventional,interventions,7,干预措施
propranolol,Propranolol,interventions,10,干预措施
neuropathic_pain,Neuropathic Pain,true_comorbidities,4,确证共病
drug_treatment,Drug Treatment,interventions,5,干预措施
elimination_diet,Elimination Diet,interventions,3,干预措施
weather,Weather,trigger_mechanisms,4,诱发机制
cardiovascular_disease,Cardiovascular Disease,trigger_mechanisms,11,诱发机制
cerebrovascular_circulation,Cerebrovascular Circulation,trigger_mechanisms,9,诱发机制
vasoconstriction,Vasoconstriction,trigger_mechanisms,4,诱发机制
cardiovascular_induced,Cardiovascular Induced,trigger_mechanisms,3,诱发机制
vascular_dementia,Vascular Dementia,trigger_mechanisms,3,诱发机制
trigger_factors,Trigger Factors,trigger_mechanisms,4,诱发机制
amitriptyline,Amitriptyline,interventions,10,干预措施
stroke_young_adults,Stroke Young Adults,true_comorbidities,3,确证共病
neuroinflammation,Neuroinflammation,trigger_mechanisms,6,诱发机制
trigeminal_ganglion,Trigeminal Ganglion,trigger_mechanisms,5,诱发机制
auricular_acupuncture,Auricular Acupuncture,interventions,4,干预措施
radiotherapy,Radiotherapy,interventions,12,干预措施
molecular_targeted_therapy,Molecular Targeted Therapy,interventions,23,干预措施
medication_adherence,Medication Adherence,interventions,4,干预措施
cupping_therapy,Cupping Therapy,interventions,3,干预措施
acupuncture_analgesia,Acupuncture Analgesia,interventions,3,干预措施
external_trigeminal_nerve_stim,External Trigeminal Nerve Stimulation,trigger_mechanisms,6,诱发机制
trigeminal_nerve,Trigeminal Nerve,trigger_mechanisms,15,诱发机制
retreatment,Retreatment,interventions,5,干预措施
botulinum_neurotoxin,Botulinum Neurotoxin,interventions,3,干预措施
withholding_treatment,Withholding Treatment,interventions,8,干预措施
magnetic_field_therapy,Magnetic Field Therapy,interventions,4,干预措施
time_to_treatment,Time-To-Treatment,interventions,5,干预措施
fluid_therapy,Fluid Therapy,interventions,6,干预措施
estrogen_replacement_therapy,Estrogen Replacement Therapy,trigger_mechanisms,3,诱发机制
attack_treatment,Attack Treatment,interventions,3,干预措施
drug_costs,Drug Costs,social_impact,3,社会影响
oxygen_inhalation_therapy,Oxygen Inhalation Therapy,interventions,4,干预措施
emergency_treatment,Emergency Treatment,interventions,4,干预措施
acupuncture_moxibustion,Acupuncture Moxibustion,interventions,7,干预措施
mediterranean_diet,Mediterranean Diet,interventions,4,干预措施
perimenopause,Perimenopause,trigger_mechanisms,3,诱发机制
ultrasonic_therapy,Ultrasonic Therapy,interventions,3,干预措施
pregnancy_therapy,Pregnancy Therapy,interventions,3,干预措施
non_pharmacological_treatment,Non-Pharmacological Treatment,interventions,5,干预措施
acute_migraine_treatment,Acute Migraine Treatment,interventions,7,干预措施
nonpharmacological_treatment,Nonpharmacological Treatment,interventions,3,干预措施
stroke_like_migraine_attacks_a,Stroke-Like Migraine Attacks After Radiation Therapy Syndrome,true_comorbidities,3,确证共病
mindfulness_based_stress_reduc,Mindfulness-Based Stress Reduction,trigger_mechanisms,3,诱发机制
valproate,Valproate,interventions,4,干预措施
non_pharmacologic_treatment,Non-Pharmacologic Treatment,interventions,3,干预措施
music_therapy,Music Therapy,interventions,3,干预措施
